id,model,provider,strategy,post,true_sentiment,true_topic,raw_output,pred_sentiment,pred_topic,latency_seconds,error
16,gemini-flash-lite-latest,gemini,zero_shot,"L.A.M.E. RT @mention ""...by the law of averages, better than Buzz"" RT @mention ""Google Circles will be ______ "" #sxsw",negative,Other Google product or service,"{""id"": 16, ""sentiment"": ""negative"", ""topic"": ""Other Google product or service""}",negative,Other Google product or service,0.0623807027664346,
17,gemini-flash-lite-latest,gemini,zero_shot,RT @mention Novelty of iPad news apps fades fast among #SXSW delegates - by @mention {link},negative,iPad or iPhone App,"{""id"": 17, ""sentiment"": ""neutral"", ""topic"": ""iPad or iPhone App""}",neutral,iPad or iPhone App,0.0623807027664346,
18,gemini-flash-lite-latest,gemini,zero_shot,Grrr..plancast stuff exported to Google calendar in San Diego/pacific time did not shift to central tme #wack #sxsw,negative,Google,"{""id"": 18, ""sentiment"": ""negative"", ""topic"": ""Other Google product or service""}",negative,Other Google product or service,0.0623807027664346,
19,gemini-flash-lite-latest,gemini,zero_shot,RT @mention Nothing says DOUCHE CAKE like walking around with a IPAD like it's an Iphone #sxsw,negative,iPad,"{""id"": 19, ""sentiment"": ""negative"", ""topic"": ""iPad""}",negative,iPad,0.0623807027664346,
20,gemini-flash-lite-latest,gemini,zero_shot,Auntie's voxpop of popular #sxsw apps is worth a watch: {link} Not many Android phones on view.,negative,Android,"{""id"": 20, ""sentiment"": ""neutral"", ""topic"": ""Android""}",neutral,Android,0.0623807027664346,
21,gemini-flash-lite-latest,gemini,zero_shot,@mention You can get an iPad 1 for under $350 now. And they'll be $99 before you know it. Look at iPhone. #newsapps #sxsw,neutral,iPad,"{""id"": 21, ""sentiment"": ""neutral"", ""topic"": ""iPad""}",neutral,iPad,0.0623807027664346,
22,gemini-flash-lite-latest,gemini,zero_shot,"On the couch with iPad propped on my gut full of breakfast tacos. A dangerous position for inertia. What's happening tonight, #SXSW friends?",neutral,iPad,"{""id"": 22, ""sentiment"": ""neutral"", ""topic"": ""iPad""}",neutral,iPad,0.0623807027664346,
23,gemini-flash-lite-latest,gemini,zero_shot,Is music happening at #SXSW or is it just a lamewad promo fest for #zappos #Apple #Samsung etc. ????,neutral,Apple,"{""id"": 23, ""sentiment"": ""negative"", ""topic"": ""Apple""}",negative,Apple,0.0623807027664346,
24,gemini-flash-lite-latest,gemini,zero_shot,New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by #Mashable {link} by @mention #app,neutral,iPad or iPhone App,"{""id"": 24, ""sentiment"": ""neutral"", ""topic"": ""iPad or iPhone App""}",neutral,iPad or iPhone App,0.0623807027664346,
25,gemini-flash-lite-latest,gemini,zero_shot,"Check out iPad Design Headaches (2 Tablets, Call in the Morning) at SXSW. {link} #SXSW #tapworthy",neutral,iPad,"{""id"": 25, ""sentiment"": ""neutral"", ""topic"": ""iPad""}",neutral,iPad,0.0623807027664346,
26,gemini-flash-lite-latest,gemini,zero_shot,Looks like I was an hour late for getting an ipad. #SXSW #sadpanda,neutral,iPad,"{""id"": 26, ""sentiment"": ""negative"", ""topic"": ""iPad""}",negative,iPad,0.0623807027664346,
27,gemini-flash-lite-latest,gemini,zero_shot,"Saw a company today ready to launch, sounds a lot like Google Circles, but with actual personal privacy www.mycube.com #sxsw",neutral,Other Google product or service,"{""id"": 27, ""sentiment"": ""neutral"", ""topic"": ""Other Google product or service""}",neutral,Other Google product or service,0.0623807027664346,
28,gemini-flash-lite-latest,gemini,zero_shot,Google (tries again) to launch a new social network called Circles: {link} #sxsw,neutral,Google,"{""id"": 28, ""sentiment"": ""neutral"", ""topic"": ""Other Google product or service""}",neutral,Other Google product or service,0.0623807027664346,
29,gemini-flash-lite-latest,gemini,zero_shot,"All the posts from #sxsw are making me jealous. BTW #sxsw auto corrects as ass's on the iPad. No joke, check it.",neutral,iPad,"{""id"": 29, ""sentiment"": ""neutral"", ""topic"": ""iPad""}",neutral,iPad,0.0623807027664346,
30,gemini-flash-lite-latest,gemini,zero_shot,"RT @mention In iPad Design Headaches: Take Two Tablets, Call Me in the AM panel - excited to hear @mention live! #sxsw",neutral,iPad,"{""id"": 30, ""sentiment"": ""positive"", ""topic"": ""iPad""}",positive,iPad,0.0623807027664346,
1,gemini-flash-lite-latest,gemini,few_shot,This dude next to me is holding and using an iPad 2 like it's a trophy. #sxsw #lookingforwardtothemusicfest,positive,iPad,"{""id"": 1, ""sentiment"": ""neutral"", ""topic"": ""iPad""}",neutral,iPad,0.08524129999956737,
2,gemini-flash-lite-latest,gemini,few_shot,RT @mention I hope everyone has an awesome weekend at #SXSW! I know @mention is giving away some great Apple prizes.,positive,Apple,"{""id"": 2, ""sentiment"": ""positive"", ""topic"": ""Apple""}",positive,Apple,0.08524129999956737,
3,gemini-flash-lite-latest,gemini,few_shot,RT @mention line moving fast! Rt @mention have seen two impressive lines since I'm at #SXSW the one at the Apple Store & @mention party now,positive,Apple,"{""id"": 3, ""sentiment"": ""positive"", ""topic"": ""Apple""}",positive,Apple,0.08524129999956737,
4,gemini-flash-lite-latest,gemini,few_shot,Last minute flight change to #sxsw means I can pick up an iPad 2 before I leave! #fb,positive,iPad,"{""id"": 4, ""sentiment"": ""positive"", ""topic"": ""iPad""}",positive,iPad,0.08524129999956737,
5,gemini-flash-lite-latest,gemini,few_shot,"YES RT @mention LoL U r gadgetzilla! Have fun! @mention It's #SXSW Festival time. OMG I'm scared! Got my netbook, #iPad & my droid!",positive,iPad,"{""id"": 5, ""sentiment"": ""positive"", ""topic"": ""iPad""}",positive,iPad,0.08524129999956737,
6,gemini-flash-lite-latest,gemini,few_shot,"bored at #SxSW, try this iphone app: {link}",positive,iPad or iPhone App,"{""id"": 6, ""sentiment"": ""neutral"", ""topic"": ""iPad or iPhone App""}",neutral,iPad or iPhone App,0.08524129999956737,
7,gemini-flash-lite-latest,gemini,few_shot,Holler Gram for iPad on the iTunes App Store: {link} via @mention all you #SXSW-sters great App from #MadebyMany - Free,positive,iPad or iPhone App,"{""id"": 7, ""sentiment"": ""positive"", ""topic"": ""iPad or iPhone App""}",positive,iPad or iPhone App,0.08524129999956737,
8,gemini-flash-lite-latest,gemini,few_shot,"All this #sxsw gadget lust is rubbing off on me, I think I want an iPad 2... must escape soon!",positive,iPad,"{""id"": 8, ""sentiment"": ""neutral"", ""topic"": ""iPad""}",neutral,iPad,0.08524129999956737,
9,gemini-flash-lite-latest,gemini,few_shot,"#GoogleDoodle #sxsw Google Doodles, simple on the surface, complex and intricate underneath.",positive,Other Google product or service,"{""id"": 9, ""sentiment"": ""neutral"", ""topic"": ""Google""}",neutral,Google,0.08524129999956737,
10,gemini-flash-lite-latest,gemini,few_shot,keep up with new on #Japan quake from iPhone at #SXSW - NHK World TV Live {link},positive,iPhone,"{""id"": 10, ""sentiment"": ""neutral"", ""topic"": ""iPhone""}",neutral,iPhone,0.08524129999956737,
11,gemini-flash-lite-latest,gemini,few_shot,@mention really disappointed with the iPad app - lots of error messages have to switch to tweet deck for the rest of #sxsw,negative,iPad or iPhone App,"{""id"": 11, ""sentiment"": ""negative"", ""topic"": ""iPad or iPhone App""}",negative,iPad or iPhone App,0.08524129999956737,
12,gemini-flash-lite-latest,gemini,few_shot,"Overheard at #sxsw interactive: ""Arg! I hate the iphone! I want my blackberry back"" #shocked",negative,iPhone,"{""id"": 12, ""sentiment"": ""negative"", ""topic"": ""iPhone""}",negative,iPhone,0.08524129999956737,
13,gemini-flash-lite-latest,gemini,few_shot,Apple takes bruises from panelists. Not well regarded in sustainability space. Corporate Sustainability Reporting and Transparency. #SXSW,negative,Apple,"{""id"": 13, ""sentiment"": ""negative"", ""topic"": ""Apple""}",negative,Apple,0.08524129999956737,
14,gemini-flash-lite-latest,gemini,few_shot,"Okay, fair enough lining up for new tech, but not at the cost of #sxsw... It is so much better than a new iPad... {link}",negative,iPad,"{""id"": 14, ""sentiment"": ""neutral"", ""topic"": ""iPad""}",neutral,iPad,0.08524129999956737,
15,gemini-flash-lite-latest,gemini,few_shot,People in this Apple store do not...smell great. #sxsw #hereforwork #nottheipad2,negative,Apple,"{""id"": 15, ""sentiment"": ""negative"", ""topic"": ""Apple""}",negative,Apple,0.08524129999956737,
16,gemini-flash-lite-latest,gemini,few_shot,"L.A.M.E. RT @mention ""...by the law of averages, better than Buzz"" RT @mention ""Google Circles will be ______ "" #sxsw",negative,Other Google product or service,"{""id"": 16, ""sentiment"": ""negative"", ""topic"": ""Other Google product or service""}",negative,Other Google product or service,0.08524129999956737,
17,gemini-flash-lite-latest,gemini,few_shot,RT @mention Novelty of iPad news apps fades fast among #SXSW delegates - by @mention {link},negative,iPad or iPhone App,"{""id"": 17, ""sentiment"": ""negative"", ""topic"": ""iPad or iPhone App""}",negative,iPad or iPhone App,0.08524129999956737,
18,gemini-flash-lite-latest,gemini,few_shot,Grrr..plancast stuff exported to Google calendar in San Diego/pacific time did not shift to central tme #wack #sxsw,negative,Google,"{""id"": 18, ""sentiment"": ""negative"", ""topic"": ""Other Google product or service""}",negative,Other Google product or service,0.08524129999956737,
19,gemini-flash-lite-latest,gemini,few_shot,RT @mention Nothing says DOUCHE CAKE like walking around with a IPAD like it's an Iphone #sxsw,negative,iPad,"{""id"": 19, ""sentiment"": ""negative"", ""topic"": ""iPad""}",negative,iPad,0.08524129999956737,
20,gemini-flash-lite-latest,gemini,few_shot,Auntie's voxpop of popular #sxsw apps is worth a watch: {link} Not many Android phones on view.,negative,Android,"{""id"": 20, ""sentiment"": ""neutral"", ""topic"": ""Android""}",neutral,Android,0.08524129999956737,
21,gemini-flash-lite-latest,gemini,few_shot,@mention You can get an iPad 1 for under $350 now. And they'll be $99 before you know it. Look at iPhone. #newsapps #sxsw,neutral,iPad,"{""id"": 21, ""sentiment"": ""neutral"", ""topic"": ""iPad""}",neutral,iPad,0.08524129999956737,
22,gemini-flash-lite-latest,gemini,few_shot,"On the couch with iPad propped on my gut full of breakfast tacos. A dangerous position for inertia. What's happening tonight, #SXSW friends?",neutral,iPad,"{""id"": 22, ""sentiment"": ""neutral"", ""topic"": ""iPad""}",neutral,iPad,0.08524129999956737,
23,gemini-flash-lite-latest,gemini,few_shot,Is music happening at #SXSW or is it just a lamewad promo fest for #zappos #Apple #Samsung etc. ????,neutral,Apple,"{""id"": 23, ""sentiment"": ""negative"", ""topic"": ""Apple""}",negative,Apple,0.08524129999956737,
24,gemini-flash-lite-latest,gemini,few_shot,New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by #Mashable {link} by @mention #app,neutral,iPad or iPhone App,"{""id"": 24, ""sentiment"": ""positive"", ""topic"": ""iPad or iPhone App""}",positive,iPad or iPhone App,0.08524129999956737,
25,gemini-flash-lite-latest,gemini,few_shot,"Check out iPad Design Headaches (2 Tablets, Call in the Morning) at SXSW. {link} #SXSW #tapworthy",neutral,iPad,"{""id"": 25, ""sentiment"": ""neutral"", ""topic"": ""iPad""}",neutral,iPad,0.08524129999956737,
26,gemini-flash-lite-latest,gemini,few_shot,Looks like I was an hour late for getting an ipad. #SXSW #sadpanda,neutral,iPad,"{""id"": 26, ""sentiment"": ""negative"", ""topic"": ""iPad""}",negative,iPad,0.08524129999956737,
27,gemini-flash-lite-latest,gemini,few_shot,"Saw a company today ready to launch, sounds a lot like Google Circles, but with actual personal privacy www.mycube.com #sxsw",neutral,Other Google product or service,"{""id"": 27, ""sentiment"": ""neutral"", ""topic"": ""Google""}",neutral,Google,0.08524129999956737,
28,gemini-flash-lite-latest,gemini,few_shot,Google (tries again) to launch a new social network called Circles: {link} #sxsw,neutral,Google,"{""id"": 28, ""sentiment"": ""neutral"", ""topic"": ""Google""}",neutral,Google,0.08524129999956737,
29,gemini-flash-lite-latest,gemini,few_shot,"All the posts from #sxsw are making me jealous. BTW #sxsw auto corrects as ass's on the iPad. No joke, check it.",neutral,iPad,"{""id"": 29, ""sentiment"": ""neutral"", ""topic"": ""iPad""}",neutral,iPad,0.08524129999956737,
30,gemini-flash-lite-latest,gemini,few_shot,"RT @mention In iPad Design Headaches: Take Two Tablets, Call Me in the AM panel - excited to hear @mention live! #sxsw",neutral,iPad,"{""id"": 30, ""sentiment"": ""positive"", ""topic"": ""iPad""}",positive,iPad,0.08524129999956737,
1,gemini-flash-lite-latest,gemini,structured_json,This dude next to me is holding and using an iPad 2 like it's a trophy. #sxsw #lookingforwardtothemusicfest,positive,iPad,"{""id"": 1, ""sentiment"": ""neutral"", ""topic"": ""iPad""}",neutral,iPad,0.06962173890012006,
2,gemini-flash-lite-latest,gemini,structured_json,RT @mention I hope everyone has an awesome weekend at #SXSW! I know @mention is giving away some great Apple prizes.,positive,Apple,"{""id"": 2, ""sentiment"": ""positive"", ""topic"": ""Apple""}",positive,Apple,0.06962173890012006,
3,gemini-flash-lite-latest,gemini,structured_json,RT @mention line moving fast! Rt @mention have seen two impressive lines since I'm at #SXSW the one at the Apple Store & @mention party now,positive,Apple,"{""id"": 3, ""sentiment"": ""positive"", ""topic"": ""Apple""}",positive,Apple,0.06962173890012006,
4,gemini-flash-lite-latest,gemini,structured_json,Last minute flight change to #sxsw means I can pick up an iPad 2 before I leave! #fb,positive,iPad,"{""id"": 4, ""sentiment"": ""positive"", ""topic"": ""iPad""}",positive,iPad,0.06962173890012006,
5,gemini-flash-lite-latest,gemini,structured_json,"YES RT @mention LoL U r gadgetzilla! Have fun! @mention It's #SXSW Festival time. OMG I'm scared! Got my netbook, #iPad & my droid!",positive,iPad,"{""id"": 5, ""sentiment"": ""positive"", ""topic"": ""iPad""}",positive,iPad,0.06962173890012006,
6,gemini-flash-lite-latest,gemini,structured_json,"bored at #SxSW, try this iphone app: {link}",positive,iPad or iPhone App,"{""id"": 6, ""sentiment"": ""neutral"", ""topic"": ""iPad or iPhone App""}",neutral,iPad or iPhone App,0.06962173890012006,
7,gemini-flash-lite-latest,gemini,structured_json,Holler Gram for iPad on the iTunes App Store: {link} via @mention all you #SXSW-sters great App from #MadebyMany - Free,positive,iPad or iPhone App,"{""id"": 7, ""sentiment"": ""positive"", ""topic"": ""iPad or iPhone App""}",positive,iPad or iPhone App,0.06962173890012006,
8,gemini-flash-lite-latest,gemini,structured_json,"All this #sxsw gadget lust is rubbing off on me, I think I want an iPad 2... must escape soon!",positive,iPad,"{""id"": 8, ""sentiment"": ""positive"", ""topic"": ""iPad""}",positive,iPad,0.06962173890012006,
9,gemini-flash-lite-latest,gemini,structured_json,"#GoogleDoodle #sxsw Google Doodles, simple on the surface, complex and intricate underneath.",positive,Other Google product or service,"{""id"": 9, ""sentiment"": ""positive"", ""topic"": ""Google""}",positive,Google,0.06962173890012006,
10,gemini-flash-lite-latest,gemini,structured_json,keep up with new on #Japan quake from iPhone at #SXSW - NHK World TV Live {link},positive,iPhone,"{""id"": 10, ""sentiment"": ""neutral"", ""topic"": ""iPhone""}",neutral,iPhone,0.06962173890012006,
11,gemini-flash-lite-latest,gemini,structured_json,@mention really disappointed with the iPad app - lots of error messages have to switch to tweet deck for the rest of #sxsw,negative,iPad or iPhone App,"{""id"": 11, ""sentiment"": ""negative"", ""topic"": ""iPad or iPhone App""}",negative,iPad or iPhone App,0.06962173890012006,
12,gemini-flash-lite-latest,gemini,structured_json,"Overheard at #sxsw interactive: ""Arg! I hate the iphone! I want my blackberry back"" #shocked",negative,iPhone,"{""id"": 12, ""sentiment"": ""negative"", ""topic"": ""iPhone""}",negative,iPhone,0.06962173890012006,
13,gemini-flash-lite-latest,gemini,structured_json,Apple takes bruises from panelists. Not well regarded in sustainability space. Corporate Sustainability Reporting and Transparency. #SXSW,negative,Apple,"{""id"": 13, ""sentiment"": ""negative"", ""topic"": ""Apple""}",negative,Apple,0.06962173890012006,
14,gemini-flash-lite-latest,gemini,structured_json,"Okay, fair enough lining up for new tech, but not at the cost of #sxsw... It is so much better than a new iPad... {link}",negative,iPad,"{""id"": 14, ""sentiment"": ""neutral"", ""topic"": ""iPad""}",neutral,iPad,0.06962173890012006,
15,gemini-flash-lite-latest,gemini,structured_json,People in this Apple store do not...smell great. #sxsw #hereforwork #nottheipad2,negative,Apple,"{""id"": 15, ""sentiment"": ""negative"", ""topic"": ""Apple""}",negative,Apple,0.06962173890012006,
16,gemini-flash-lite-latest,gemini,structured_json,"L.A.M.E. RT @mention ""...by the law of averages, better than Buzz"" RT @mention ""Google Circles will be ______ "" #sxsw",negative,Other Google product or service,"{""id"": 16, ""sentiment"": ""negative"", ""topic"": ""Other Google product or service""}",negative,Other Google product or service,0.06962173890012006,
17,gemini-flash-lite-latest,gemini,structured_json,RT @mention Novelty of iPad news apps fades fast among #SXSW delegates - by @mention {link},negative,iPad or iPhone App,"{""id"": 17, ""sentiment"": ""negative"", ""topic"": ""iPad or iPhone App""}",negative,iPad or iPhone App,0.06962173890012006,
18,gemini-flash-lite-latest,gemini,structured_json,Grrr..plancast stuff exported to Google calendar in San Diego/pacific time did not shift to central tme #wack #sxsw,negative,Google,"{""id"": 18, ""sentiment"": ""negative"", ""topic"": ""Other Google product or service""}",negative,Other Google product or service,0.06962173890012006,
19,gemini-flash-lite-latest,gemini,structured_json,RT @mention Nothing says DOUCHE CAKE like walking around with a IPAD like it's an Iphone #sxsw,negative,iPad,"{""id"": 19, ""sentiment"": ""negative"", ""topic"": ""iPad""}",negative,iPad,0.06962173890012006,
20,gemini-flash-lite-latest,gemini,structured_json,Auntie's voxpop of popular #sxsw apps is worth a watch: {link} Not many Android phones on view.,negative,Android,"{""id"": 20, ""sentiment"": ""neutral"", ""topic"": ""Android""}",neutral,Android,0.06962173890012006,
21,gemini-flash-lite-latest,gemini,structured_json,@mention You can get an iPad 1 for under $350 now. And they'll be $99 before you know it. Look at iPhone. #newsapps #sxsw,neutral,iPad,"{""id"": 21, ""sentiment"": ""neutral"", ""topic"": ""iPad""}",neutral,iPad,0.06962173890012006,
22,gemini-flash-lite-latest,gemini,structured_json,"On the couch with iPad propped on my gut full of breakfast tacos. A dangerous position for inertia. What's happening tonight, #SXSW friends?",neutral,iPad,"{""id"": 22, ""sentiment"": ""neutral"", ""topic"": ""iPad""}",neutral,iPad,0.06962173890012006,
23,gemini-flash-lite-latest,gemini,structured_json,Is music happening at #SXSW or is it just a lamewad promo fest for #zappos #Apple #Samsung etc. ????,neutral,Apple,"{""id"": 23, ""sentiment"": ""negative"", ""topic"": ""Apple""}",negative,Apple,0.06962173890012006,
24,gemini-flash-lite-latest,gemini,structured_json,New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by #Mashable {link} by @mention #app,neutral,iPad or iPhone App,"{""id"": 24, ""sentiment"": ""neutral"", ""topic"": ""iPad or iPhone App""}",neutral,iPad or iPhone App,0.06962173890012006,
25,gemini-flash-lite-latest,gemini,structured_json,"Check out iPad Design Headaches (2 Tablets, Call in the Morning) at SXSW. {link} #SXSW #tapworthy",neutral,iPad,"{""id"": 25, ""sentiment"": ""neutral"", ""topic"": ""iPad""}",neutral,iPad,0.06962173890012006,
26,gemini-flash-lite-latest,gemini,structured_json,Looks like I was an hour late for getting an ipad. #SXSW #sadpanda,neutral,iPad,"{""id"": 26, ""sentiment"": ""negative"", ""topic"": ""iPad""}",negative,iPad,0.06962173890012006,
27,gemini-flash-lite-latest,gemini,structured_json,"Saw a company today ready to launch, sounds a lot like Google Circles, but with actual personal privacy www.mycube.com #sxsw",neutral,Other Google product or service,"{""id"": 27, ""sentiment"": ""neutral"", ""topic"": ""Other Google product or service""}",neutral,Other Google product or service,0.06962173890012006,
28,gemini-flash-lite-latest,gemini,structured_json,Google (tries again) to launch a new social network called Circles: {link} #sxsw,neutral,Google,"{""id"": 28, ""sentiment"": ""neutral"", ""topic"": ""Other Google product or service""}",neutral,Other Google product or service,0.06962173890012006,
29,gemini-flash-lite-latest,gemini,structured_json,"All the posts from #sxsw are making me jealous. BTW #sxsw auto corrects as ass's on the iPad. No joke, check it.",neutral,iPad,"{""id"": 29, ""sentiment"": ""neutral"", ""topic"": ""iPad""}",neutral,iPad,0.06962173890012006,
30,gemini-flash-lite-latest,gemini,structured_json,"RT @mention In iPad Design Headaches: Take Two Tablets, Call Me in the AM panel - excited to hear @mention live! #sxsw",neutral,iPad,"{""id"": 30, ""sentiment"": ""positive"", ""topic"": ""iPad""}",positive,iPad,0.06962173890012006,
1,typeform/distilbert-base-uncased-mnli,hf_local,zero_shot,This dude next to me is holding and using an iPad 2 like it's a trophy. #sxsw #lookingforwardtothemusicfest,positive,iPad,"{""sentiment_labels"": [""positive"", ""negative"", ""neutral""], ""sentiment_scores"": [0.9272788763046265, 0.05872887372970581, 0.013992244377732277], ""topic_labels"": [""iPad"", ""iPad or iPhone App"", ""Apple"", ""iPhone"", ""Android"", ""Other Google product or service"", ""Google""], ""topic_scores"": [0.8374747633934021, 0.10331708937883377, 0.029855038970708847, 0.021982233971357346, 0.0030265790410339832, 0.003009831067174673, 0.0013344042235985398], ""sentiment"": ""positive"", ""topic"": ""iPad""}",positive,iPad,0.1107165666665726,
2,typeform/distilbert-base-uncased-mnli,hf_local,zero_shot,RT @mention I hope everyone has an awesome weekend at #SXSW! I know @mention is giving away some great Apple prizes.,positive,Apple,"{""sentiment_labels"": [""positive"", ""neutral"", ""negative""], ""sentiment_scores"": [0.8298260569572449, 0.10627473890781403, 0.06389927119016647], ""topic_labels"": [""Apple"", ""iPhone"", ""iPad or iPhone App"", ""Other Google product or service"", ""iPad"", ""Android"", ""Google""], ""topic_scores"": [0.9855206608772278, 0.005804672371596098, 0.0033142180182039738, 0.0030927301850169897, 0.0010685604065656662, 0.0007503532106056809, 0.00044873118167743087], ""sentiment"": ""positive"", ""topic"": ""Apple""}",positive,Apple,0.1107165666665726,
3,typeform/distilbert-base-uncased-mnli,hf_local,zero_shot,RT @mention line moving fast! Rt @mention have seen two impressive lines since I'm at #SXSW the one at the Apple Store & @mention party now,positive,Apple,"{""sentiment_labels"": [""positive"", ""neutral"", ""negative""], ""sentiment_scores"": [0.9642335772514343, 0.021704120561480522, 0.014062286354601383], ""topic_labels"": [""Apple"", ""iPhone"", ""Other Google product or service"", ""iPad or iPhone App"", ""iPad"", ""Android"", ""Google""], ""topic_scores"": [0.950029730796814, 0.01846364326775074, 0.010520236566662788, 0.009935288690030575, 0.005632282700389624, 0.0030238893814384937, 0.0023948827292770147], ""sentiment"": ""positive"", ""topic"": ""Apple""}",positive,Apple,0.1107165666665726,
4,typeform/distilbert-base-uncased-mnli,hf_local,zero_shot,Last minute flight change to #sxsw means I can pick up an iPad 2 before I leave! #fb,positive,iPad,"{""sentiment_labels"": [""positive"", ""negative"", ""neutral""], ""sentiment_scores"": [0.5142034888267517, 0.33970072865486145, 0.14609579741954803], ""topic_labels"": [""iPad or iPhone App"", ""iPad"", ""iPhone"", ""Other Google product or service"", ""Apple"", ""Android"", ""Google""], ""topic_scores"": [0.6407613754272461, 0.26202258467674255, 0.08284575492143631, 0.005598656367510557, 0.003663149429485202, 0.003560395445674658, 0.0015480475267395377], ""sentiment"": ""positive"", ""topic"": ""iPad or iPhone App""}",positive,iPad or iPhone App,0.1107165666665726,
